epoch,time_s,train_acc,test_acc
1,3.6,19.23,29.23
2,7.2,23.85,23.08
3,10.8,23.08,25.38
4,14.4,28.72,33.33
5,18.0,30.51,35.9
6,21.6,32.56,37.69
7,25.3,33.08,34.36
8,28.9,36.41,37.18
9,32.5,39.49,36.15
10,36.1,35.38,38.21
11,39.8,38.46,37.95
12,43.5,42.56,36.92
13,47.2,39.23,36.67
14,50.8,38.46,36.67
15,54.4,43.08,41.54
16,58.0,43.33,40.51
17,61.7,44.1,44.1
18,65.3,42.56,43.59
19,69.1,44.87,45.64
20,73.0,42.56,43.59
21,76.6,46.92,41.79
22,80.2,48.21,41.79
23,83.9,46.41,43.33
24,87.5,47.95,47.44
25,91.3,51.03,47.44
26,94.9,50.0,42.82
27,98.6,50.0,49.23
28,102.4,54.87,53.08
29,106.1,55.38,51.79
30,109.8,56.15,53.08
31,113.5,56.67,55.9
32,117.3,53.85,55.38
33,120.9,58.72,54.62
34,124.5,57.69,56.67
35,128.3,60.51,56.41
36,132.1,57.95,59.49
37,135.7,59.23,57.44
38,139.4,61.79,59.23
39,143.0,59.23,59.23
40,146.7,66.15,61.54
41,150.3,62.82,60.26
42,154.0,65.38,60.26
43,157.6,63.08,60.77
44,161.6,67.69,62.05
45,165.8,64.87,61.54
46,169.5,68.21,61.54
47,173.1,68.97,63.08
48,176.7,71.79,61.54
49,180.4,70.51,61.79
50,184.0,71.79,60.26
51,187.8,68.72,61.54
52,191.4,72.31,61.54
53,195.1,71.79,62.05
54,198.7,71.28,61.79
55,202.4,71.03,62.82
56,206.1,72.56,61.03
57,209.7,73.85,60.77
58,213.4,69.23,60.77
59,217.0,70.0,61.28
60,220.7,70.77,61.03
61,224.3,70.0,61.03
62,228.0,72.82,61.03
63,231.7,53.08,53.59
64,235.4,54.36,38.97
65,239.1,54.87,46.41
66,242.7,57.18,53.59
67,246.5,58.72,52.82
68,250.2,54.62,58.21
69,254.2,58.21,56.92
70,258.0,58.46,52.31
71,261.6,61.03,57.95
72,265.3,58.97,57.18
73,269.0,60.0,58.21
74,272.7,58.72,52.56
75,276.3,62.82,60.77
76,280.1,63.85,51.54
77,283.8,57.69,56.67
