epoch,time_s,train_acc,test_acc
1,29.3,7.44,9.74
2,53.5,13.59,32.56
3,77.9,19.74,27.44
4,101.9,26.41,31.28
5,126.9,21.28,27.95
6,152.4,25.9,27.95
7,177.6,27.69,28.21
8,203.1,30.51,32.56
9,228.6,32.56,24.1
10,253.7,30.51,31.54
11,279.5,29.49,29.23
12,305.2,30.0,37.18
13,330.4,31.28,40.0
14,354.8,34.1,34.87
15,379.6,30.77,38.46
16,404.6,32.05,30.77
17,430.1,33.33,36.41
18,455.3,37.18,39.23
19,480.0,37.69,39.74
20,505.5,38.97,46.41
21,530.8,37.18,44.87
22,556.5,38.21,41.03
23,581.5,40.26,39.49
24,607.2,38.46,40.77
25,633.3,39.23,43.85
26,658.5,40.77,48.21
27,684.2,41.54,50.26
28,709.7,41.54,44.62
29,733.5,44.36,45.38
30,757.0,43.33,44.62
31,781.8,41.03,41.28
32,807.5,41.79,51.79
33,832.4,43.85,41.28
34,857.6,46.67,48.97
35,882.9,49.23,44.1
36,908.3,49.49,46.67
37,933.3,49.23,54.36
38,958.9,48.46,45.64
39,984.3,48.97,46.41
40,1009.9,52.31,46.15
41,1035.1,54.1,53.33
42,1059.7,49.49,52.56
43,1084.3,53.33,50.77
44,1108.9,53.85,51.54
45,1134.0,55.64,51.79
46,1159.9,53.85,53.33
47,1185.0,57.95,54.36
48,1210.3,51.79,54.36
49,1235.4,56.41,54.87
50,1260.1,58.72,57.69
51,1285.0,57.44,54.1
52,1310.3,58.21,54.36
53,1335.8,60.26,56.15
54,1361.5,58.97,56.15
55,1386.8,59.23,56.67
56,1412.5,57.18,56.67
57,1438.1,59.74,57.44
58,1463.5,60.26,56.92
59,1487.5,62.82,56.41
60,1511.1,58.72,55.9
61,1534.3,61.03,56.67
62,1557.8,61.28,56.92
63,1581.2,56.67,56.92
64,1604.5,43.59,48.97
65,1627.7,43.85,46.92
66,1650.9,43.33,47.18
67,1674.5,44.62,47.18
68,1697.8,42.31,43.85
69,1721.2,40.0,43.85
70,1744.6,44.87,46.41
71,1767.8,42.31,48.21
72,1791.4,46.15,49.74
73,1814.5,47.69,41.03
74,1837.7,47.95,38.97
75,1860.9,48.97,51.54
76,1883.2,48.46,49.74
77,1905.8,52.56,44.1
78,1928.4,49.74,53.85
79,1951.4,49.49,45.64
80,1975.1,48.72,51.03
