epoch,time_s,train_acc,test_acc
1,6.8,82.4,88.98
2,13.5,82.2,89.13
3,20.3,84.8,91.64
4,27.1,88.4,91.51
5,33.9,87.0,91.42
6,40.4,88.6,91.69
7,47.0,89.0,91.51
8,53.9,90.2,92.0
9,60.8,91.0,91.67
10,67.8,89.6,92.18
11,74.5,91.6,91.56
12,81.3,89.8,91.93
13,88.0,90.6,92.16
14,95.0,91.6,92.13
15,101.7,90.2,92.47
16,108.7,90.8,92.07
17,115.7,91.2,91.89
18,122.7,90.6,92.04
19,129.7,91.2,91.62
20,136.3,89.8,92.47
21,143.2,90.0,92.33
22,150.1,91.0,92.13
23,157.1,90.8,92.42
24,163.9,92.8,92.51
25,170.5,91.4,92.33
26,177.2,90.6,92.24
27,184.1,92.0,92.29
28,191.0,92.8,92.07
29,197.9,91.6,92.31
30,204.8,92.2,92.64
31,211.8,92.2,92.98
32,218.7,92.2,92.84
33,225.5,91.8,92.69
34,232.3,92.4,93.22
35,239.3,92.6,93.04
36,246.3,93.0,92.8
37,253.2,92.8,92.96
38,260.2,92.6,93.11
39,267.2,93.8,93.31
40,274.4,93.2,93.11
41,281.5,91.8,93.62
42,289.3,93.0,93.67
43,296.8,93.2,93.49
44,304.5,93.4,93.62
45,311.8,94.0,93.73
46,319.0,93.6,93.73
47,326.2,93.8,93.76
48,334.1,93.4,93.71
49,341.3,93.8,93.58
50,348.5,93.2,93.71
51,355.9,93.8,93.69
52,362.6,94.4,93.78
53,369.9,93.2,93.73
54,377.0,95.4,93.8
55,384.2,94.4,93.71
56,391.5,94.4,93.78
57,398.7,95.2,93.78
58,405.7,94.4,93.82
59,412.5,94.8,93.82
60,419.6,94.6,93.8
61,426.6,94.2,93.8
62,433.7,94.8,93.8
63,440.5,92.4,92.38
64,447.7,88.4,92.47
65,454.7,89.6,92.02
66,462.0,92.8,92.47
67,469.2,90.6,92.33
68,476.3,92.0,92.22
69,483.4,90.6,92.22
70,490.5,90.2,92.49
71,497.6,92.4,92.62
72,504.4,90.8,92.56
73,511.6,92.8,92.56
74,518.7,92.0,93.0
75,525.8,91.4,92.4
76,533.0,91.4,92.29
77,539.9,91.4,92.62
78,547.0,92.6,92.78
79,554.1,91.6,93.07
80,561.8,91.8,92.91
81,569.4,92.6,92.51
82,577.3,92.6,93.2
83,585.6,93.6,92.18
84,593.7,92.4,92.69
85,602.9,93.6,93.13
86,610.6,92.8,92.82
87,619.7,92.2,92.58
88,629.9,93.6,93.04
