epoch,time_s,train_acc,test_acc
1,3.4,10.18,13.85
2,6.8,11.61,32.07
3,10.2,16.25,41.72
4,13.6,20.18,41.18
5,17.0,25.18,45.44
6,20.4,29.64,47.34
7,23.9,33.75,49.17
8,27.3,36.43,51.66
9,30.7,33.39,50.59
10,34.2,37.14,59.76
11,37.6,38.75,60.0
12,41.0,39.46,58.58
13,44.5,41.07,61.01
14,48.0,44.46,63.67
15,51.5,46.43,59.23
16,54.9,52.32,63.85
17,58.3,53.75,59.64
18,61.7,53.21,69.53
19,65.5,51.07,74.44
20,69.0,56.96,70.36
21,72.5,55.89,72.19
22,75.9,57.32,72.07
23,79.3,61.25,72.72
24,82.8,57.32,74.97
25,86.3,60.54,80.18
26,89.8,61.43,76.75
27,93.3,64.29,73.55
28,96.9,65.71,79.05
29,100.4,64.29,74.85
30,103.9,67.14,81.36
31,107.5,66.79,84.08
32,111.0,68.21,81.01
33,114.5,70.89,83.55
34,118.0,68.57,78.58
35,121.5,72.32,75.8
36,124.9,71.07,83.91
37,128.4,71.79,82.66
38,131.8,71.25,82.6
39,135.3,71.25,83.91
40,138.6,73.75,86.45
41,142.1,74.11,84.97
42,145.5,77.5,86.57
43,148.9,77.5,86.75
44,152.4,75.89,85.68
45,155.9,77.86,86.98
46,159.6,75.36,84.91
47,163.1,77.68,83.49
48,166.5,81.96,84.67
49,170.0,78.21,86.33
50,173.5,80.0,86.09
51,176.9,81.07,87.28
52,180.5,81.96,85.27
53,184.0,79.29,86.51
54,187.5,82.86,86.69
55,191.0,83.21,87.22
56,194.5,84.82,87.57
57,198.0,82.14,87.22
58,201.5,84.64,87.4
59,204.9,81.25,87.34
60,208.4,82.32,87.46
61,212.0,80.71,87.34
62,215.4,81.61,87.34
63,218.9,62.32,81.07
64,222.4,63.93,72.66
65,225.8,68.75,77.57
66,229.3,69.29,82.49
67,232.8,68.75,78.52
68,236.4,68.04,79.23
69,240.2,71.25,78.7
70,243.8,70.36,78.7
71,247.3,69.29,82.01
72,250.8,69.11,81.48
73,254.5,69.46,86.27
74,258.2,71.43,81.6
75,261.7,74.82,84.85
76,265.2,75.54,80.3
77,268.8,72.68,75.15
78,272.8,74.11,76.39
79,276.3,74.46,81.54
80,279.8,76.25,80.12
81,283.3,74.11,82.78
82,286.8,79.29,84.2
83,290.3,78.21,83.73
84,293.8,76.79,83.55
85,297.4,80.71,87.34
86,300.7,78.39,80.83
