epoch,time_s,train_acc,test_acc
1,18.7,5.6,6.6
2,32.6,8.8,24.6
3,46.4,12.6,31.6
4,60.2,15.0,11.6
5,74.1,18.2,39.2
6,87.9,22.2,39.0
7,101.8,25.8,37.0
8,115.6,25.2,37.2
9,129.5,28.4,49.6
10,143.3,28.2,59.2
11,157.1,33.2,37.8
12,171.0,30.4,44.6
13,184.8,35.2,56.2
14,198.6,37.6,48.8
15,212.9,41.4,55.2
16,227.3,40.6,53.0
17,241.6,44.8,60.8
18,255.9,43.4,58.6
19,270.3,46.4,66.4
20,284.7,46.6,60.6
21,299.0,48.2,58.4
22,313.5,49.2,58.2
23,327.9,55.6,71.0
24,342.2,53.2,67.6
25,356.7,52.6,68.4
26,371.1,56.0,80.8
27,385.4,58.0,73.2
28,399.6,60.8,73.8
29,414.2,57.0,75.2
30,428.5,60.2,78.8
31,442.8,60.6,73.4
32,457.1,59.4,71.8
33,471.4,62.2,74.8
34,486.0,64.0,80.4
35,500.5,65.8,79.8
36,515.1,67.0,76.2
37,529.5,66.0,77.0
38,543.7,66.6,80.6
39,557.7,68.6,83.4
40,572.0,67.0,76.0
41,586.3,68.8,82.6
42,601.0,71.2,84.6
43,615.5,73.6,81.4
44,629.9,69.2,84.0
45,644.3,72.2,82.4
46,658.7,70.6,77.6
47,672.9,71.8,86.0
48,687.1,76.0,86.6
49,701.4,74.0,83.8
50,715.7,76.2,80.6
51,730.0,76.4,87.6
52,744.2,74.2,84.8
53,758.6,75.0,86.4
54,773.0,75.8,86.4
55,787.5,77.2,87.2
56,801.7,78.6,86.8
57,816.0,78.0,86.4
58,830.5,76.6,85.4
59,844.9,78.8,86.0
60,859.1,80.6,86.2
61,873.4,75.6,86.4
62,887.8,78.2,86.4
63,902.2,74.4,86.4
64,916.4,50.4,69.2
65,930.8,54.8,70.2
66,945.1,56.0,74.4
67,959.5,60.0,81.4
68,973.6,59.4,66.6
69,987.9,60.6,71.2
70,1002.0,59.6,71.4
71,1016.3,58.8,68.2
72,1030.6,60.0,63.4
73,1044.5,61.8,72.6
74,1059.0,59.4,65.2
75,1072.8,59.6,67.6
76,1087.0,63.0,75.2
77,1101.1,61.0,78.4
78,1115.4,64.0,76.8
79,1129.6,60.2,77.2
80,1143.8,69.4,72.2
81,1157.8,66.6,76.8
